sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,total_enroll,Grade,SingleScore,Third_Grade_Reading,Fifth_Grade_Reading,Eighth_Grade_Reading,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,CollegeEnrollment
6753050,675,Henry County,Henry County High School,3050,H,1055,D,68.60000000000000,,,,40.40000000000000,20.1,84.60000000000000,
6754050,675,Henry County,Henry County Middle School,4050,M,711,F,57.1,,,,,,,
7614560,761,Atlanta Public Schools,Henry W. Grady High School ,4560,H,1372,B,83.60000000000000,,,,68.3,68,88.40000000000000,
721102,721,Richmond County,Hephzibah Elementary School,102,E,351,F,58.5,,,,,,,
7212056,721,Richmond County,Hephzibah High School,2056,H,1019,D,62.6,,,,33.7,34,80.10000000000000,
7211156,721,Richmond County,Hephzibah Middle School,1156,M,452,F,57,,,,,,,
761103,761,Atlanta Public Schools,Heritage Academy,103,E,474,D,60.3,,,,,,,
611605,611,Bibb County,Heritage Elementary School,605,E,669,B,89.80000000000000,,,,,,,
660301,660,Fulton County,Heritage Elementary School,301,E,635,F,57.8,,,,,,,
623109,623,Catoosa County,Heritage High School,109,H,1320,B,85,,,,64.7,49.8,87.90000000000000,
722176,722,Rockdale County,Heritage High School,176,H,1825,C,73.90000000000000,,,,52.7,52.3,85.30000000000000,
623205,623,Catoosa County,Heritage Middle School,205,M,928,B,82.90000000000000,,,,,,,
7102352,710,Paulding County,Herschel Jones Middle School,2352,M,726,D,67.8,,,,,,,
6254058,625,Chatham County,Hesse K-8 School,4058,EM,1196,D,60.6,,,,,,,
675297,675,Henry County,Hickory Flat Charter Elementary School,297,E,674,C,77,,,,,,,
6283052,628,Cherokee County,Hickory Flat Elementary School,3052,E,477,A,91.80000000000000,,,,,,,
7813050,781,Marietta City,Hickory Hills Elementary School,3050,E,402,C,74.3,,,,,,,
722110,722,Rockdale County,Hicks Elementary School,110,E,879,C,70.2,,,,,,,
6604056,660,Fulton County,High Point Elementary School,4056,E,681,D,67.90000000000000,,,,,,,
708110,708,Oconee County,High Shoals Elementary School,110,E,515,A,91.60000000000000,,,,,,,
6444058,644,DeKalb County,Hightower Elementary School,4058,E,740,D,61,,,,,,,
722289,722,Rockdale County,Hightower Trail Elementary School,289,E,599,D,68.8,,,,,,,
633394,633,Cobb County,Hightower Trail Middle School,394,M,1122,A,100.5,,,,,,,
712103,712,Pickens County,Hill City Elementary School,103,E,568,C,78.2,,,,,,,
774112,774,Dublin City,Hillcrest Elementary School,112,E,473,D,68,,,,,,,
7413050,741,Troup County,Hillcrest Elementary School,3050,E,361,C,79.7,,,,,,,
633707,633,Cobb County,Hillgrove High School,707,H,2466,A,98.60000000000000,,,,73.10000000000000,62.3,91,
660202,660,Fulton County,Hillside Elementary School,202,E,467,B,89.30000000000000,,,,,,,
676309,676,Houston County,Hilltop Elementary School,309,E,591,C,79.80000000000000,,,,,,,
6295058,629,Clarke County,Hilsman Middle School,5058,M,672,C,70.5,,,,,,,
7105050,710,Paulding County,Hiram Elementary School,5050,E,726,C,71.8,,,,,,,
710101,710,Paulding County,Hiram High School,101,H,1676,C,76.40000000000000,,,,44.7,32,79.2,
6132050,613,Brantley County,Hoboken Elementary School,2050,EM,528,B,89.30000000000000,,,,,,,
6255058,625,Chatham County,Hodge Elementary School,5058,E,538,F,57.2,,,,,,,
741397,741,Troup County,Hogansville Elementary School,397,E,493,F,56.90000000000000,,,,,,,
660284,660,Fulton County,Holcomb Bridge Middle School,284,M,765,C,71.10000000000000,,,,,,,
741194,741,Troup County,Hollis Hand Elementary School,194,E,576,B,86.80000000000000,,,,,,,
7611414,761,Atlanta Public Schools,Hollis Innovation Academy,1414,E,468,F,58.6,,,,,,,
628199,628,Cherokee County,Holly Springs Elementary School,199,E,803,B,82.40000000000000,,,,,,,
648200,648,Douglas County,Holly Springs Elementary School,200,E,535,A,94.30000000000000,,,,,,,
6334560,633,Cobb County,Hollydale Elementary School,4560,E,638,C,71.7,,,,,,,
6074050,607,Barrow County,Holsenbeck Elementary School,4050,E,862,B,85.40000000000000,,,,,,,
722174,722,Rockdale County,Honey Creek Elementary School,174,E,599,D,68.90000000000000,,,,,,,
7612062,761,Atlanta Public Schools,Hope-Hill Elementary School,2062,E,433,D,60.5,,,,,,,
660105,660,Fulton County,Hopewell Middle School,105,M,1493,B,86.10000000000000,,,,,,,
667285,667,Gwinnett County,Hopkins Elementary School,285,E,1276,C,72.2,,,,,,,
7225050,722,Rockdale County,House Elementary School,5050,E,702,C,71.5,,,,,,,
676116,676,Houston County,Houston County Crossroads Center,116,MH,139,F,59.7,,,,,9.5,34.5,
676192,676,Houston County,Houston County High School,192,H,1859,A,97,,,,73.3,70.40000000000000,94.7,
629291,629,Clarke County,Howard B. Stroud Elementary School,291,E,359,D,69.40000000000000,,,,,,,
611105,611,Bibb County,Howard High School,105,H,1256,B,80.2,,,,60.90000000000000,51.90000000000000,83.10000000000000,
611205,611,Bibb County,Howard Middle School,205,M,926,C,73.90000000000000,,,,,,,
6252060,625,Chatham County,Hubert Middle School,2060,M,504,F,50.1,,,,,,,
656180,656,Fayette County,Huddleston Elementary School,180,E,609,A,90.60000000000000,,,,,,,
